Genus,Count,Sum,Mean,SD,Median,Max,Min
Nitrococcus,1,10698,10698,0,10698,10698,10698
Xylophilus,1,10612,10612,0,10612,10612,10612
Geobacter,1,10521,10521,0,10521,10521,10521
Geoalkalibacter,1,10476,10476,0,10476,10476,10476
Phaseolibacter,1,10423,10423,0,10423,10423,10423
Sphingobacterium,1,10421,10421,0,10421,10421,10421
Arthrospira,1,10415,10415,0,10415,10415,10415
Cellvibrio,1,10367,10367,0,10367,10367,10367
Oenococcus,1,10253,10253,0,10253,10253,10253
Butyrivibrio,1,10232,10232,0,10232,10232,10232
Aliivibrio,1,10215,10215,0,10215,10215,10215
Solirubrobacter,1,10173,10173,0,10173,10173,10173
Herminiimonas,1,10162,10162,0,10162,10162,10162
Glaciibacter,1,10156,10156,0,10156,10156,10156
Alloscardovia,1,10109,10109,0,10109,10109,10109
Anaeromyxobacter,1,10064,10064,0,10064,10064,10064
Hyalangium,1,10050,10050,0,10050,10050,10050
Gorillibacterium,1,9994,9994,0,9994,9994,9994
Chlorobium,1,9891,9891,0,9891,9891,9891
Ferrovum,1,9840,9840,0,9840,9840,9840
Psychrobacillus,1,9761,9761,0,9761,9761,9761
Lysinimicrobium,1,9630,9630,0,9630,9630,9630
Mucilaginibacter,1,9619,9619,0,9619,9619,9619
Desulfotignum,1,9600,9600,0,9600,9600,9600
Rhodoplanes,1,9596,9596,0,9596,9596,9596
Bellilinea,1,9357,9357,0,9357,9357,9357
Lewinella,1,9118,9118,0,9118,9118,9118
Hyphomonas,1,9070,9070,0,9070,9070,9070
Flectobacillus,1,8973,8973,0,8973,8973,8973
Oceanibulbus,1,8811,8811,0,8811,8811,8811
Porphyrobacter,1,8638,8638,0,8638,8638,8638
Derxia,1,8625,8625,0,8625,8625,8625
Leifsonia,1,8603,8603,0,8603,8603,8603
Tardiphaga,1,8477,8477,0,8477,8477,8477
Shinella,1,8434,8434,0,8434,8434,8434
Methylocapsa,1,8393,8393,0,8393,8393,8393
Thermacetogenium,1,8284,8284,0,8284,8284,8284
Marmoricola,1,8211,8211,0,8211,8211,8211
Myxococcus,1,8175,8175,0,8175,8175,8175
Fodinicurvata,1,8162,8162,0,8162,8162,8162
Desulfosporosinus,1,8140,8140,0,8140,8140,8140
Paludibacter,1,8117,8117,0,8117,8117,8117
Neochlamydia,1,8077,8077,0,8077,8077,8077
Prochlorothrix,1,7972,7972,0,7972,7972,7972
Planktothricoides,1,7968,7968,0,7968,7968,7968
Raphidiopsis,1,7943,7943,0,7943,7943,7943
Kordia,1,7755,7755,0,7755,7755,7755
Fervidobacterium,1,7725,7725,0,7725,7725,7725
Desulfitobacterium,1,7682,7682,0,7682,7682,7682
