Family,Count,Sum,Mean,SD,Median,Max,Min
Phyllobacteriaceae,4,427969,106992.25,212069.582436795,1276.5,425094,322
Alteromonadaceae,5,414961,82992.2,125124.414434993,13101,291744,63
Acetobacteraceae,9,406422,45158,70068.4733885362,5137,205625,419
Chthoniobacteraceae,1,399171,399171,0,399171,399171,399171
Planococcaceae,8,399040,49880,93997.8648374526,2616.5,252618,190
Atopobiaceae,2,378256,189128,33744.5498117844,189128,212989,165267
Thermaceae,3,373423,124474.333333333,182650.547177755,39026,334187,210
Oceanospirillaceae,7,366343,52334.7142857143,91408.2402844774,2552,228583,20
Peptostreptococcaceae,6,363190,60531.6666666667,94712.9850456983,9832.5,234895,800
Brachyspiraceae,1,355548,355548,0,355548,355548,355548
Flammeovirgaceae,4,350476,87619,174030.660852238,801.5,348664,209
Rickettsiaceae,2,348541,174270.5,240882.288972228,174270.5,344600,3941
Actinomycetaceae,4,323855,80963.75,157005.820436431,3605,316434,211
Thermoanaerobacterales,4,312930,78232.5,139991.208939466,12459,287927,85
Microbacteriaceae,18,296160,16453.3333333333,43117.9775895364,2843.5,184637,34
Nitrosomonadaceae,2,285687,142843.5,179665.226497784,142843.5,269886,15801
Candidatus,2,266690,133345,188139.901270305,133345,266380,310
Spirochaetaceae,4,236833,59208.25,95288.6546285373,18278,200254,23
Carnobacteriaceae,7,236814,33830.5714285714,49672.0466723392,1125,109211,173
Succinivibrionaceae,1,229667,229667,0,229667,229667,229667
Legionellaceae,3,215754,71918,123226.436680608,1141,214207,406
Microchaetaceae,3,209043,69681,98120.844885274,24281,182280,2482
Saprospiraceae,4,199356,49839,91905.2927565473,5412.5,187586,945
Streptococcaceae,1,197805,197805,0,197805,197805,197805
