Genus,Count,Sum,Mean,SD,Median,Max,Min
Devosia,16,22070.003954087,1379.37524713044,2724.34591222592,387.42641102,11035.001977431,13.90997201
Aquabacterium,12,21882.976252468,1823.58135437233,3080.30524173448,841.2049551625,10941.488126104,37.585601459
Halobacillus,2,21301.65264,10650.82632,0,10650.82632,10650.82632,10650.82632
Noviherbaspirillum,6,20708.413275188,3451.40221253133,3947.84670116294,2061.4890289295,10354.206637439,61.17632622
Shinella,4,19319.42475456,4829.85618864,2726.34285732365,3665.111092,8899.1074022,3090.09516836
Cupriavidus,6,17700.751494094,2950.12524901567,3138.10686017734,1746.83160542,7103.544141927,134.5456696
Granulicatella,8,16690.455287934,2086.30691099175,2829.8732649273,736.806708281,8345.227644142,106.49748936
Aeribacillus,3,16098.4954916,5366.16516386667,3851.39412504723,7096.1117206,8049.24774605,953.13602495
Bacteroides,14,15276.375690094,1091.16969214957,1992.95063802412,490.8722720585,7638.187845627,70.91196414
Pedomicrobium,3,14740.040634981,4913.346878327,8400.48912292799,63.32222188,14613.396191221,63.32222188
Ferruginibacter,4,14481.719865228,3620.429966307,3482.90053062978,3616.07423047,7240.859932436,8.711471852
Comamonas,6,14253.980658916,2375.66344315267,1877.36111478658,2048.42380235,5145.46699403,108.19542754
Atopobium,7,14224.01697509,2032.00242501286,1792.44714863658,1602.059475,5069.5392817,92.49817086
Altererythrobacter,13,14212.957810362,1093.30444695092,1889.3811961687,473.0986526,7106.478905626,26.34844756
Mycoplana,11,14192.18849171,1290.19895379182,2032.16453083301,658.8303302,7096.09424579,39.02813834
Rheinheimera,7,13757.26610642,1965.32372948857,1904.14315051133,1313.944086,5914.351126,253.86850461
Marmoricola,9,13755.9594677082,1528.43994085647,2183.68988752897,509.7090116,6877.9797339191,109.15439488
Kushneria,2,13452.2736,6726.1368,0,6726.1368,6726.1368,6726.1368
Pedobacter,8,13431.51433319,1678.93929164875,2481.38749267584,588.06539872,6715.75716643,27.7830549
Arcicella,4,13426.54169495,3356.6354237375,3659.03476041856,3302.62984227,6713.27084763,108.01116278
Schlegelella,3,13412.67493366,4470.89164455333,1936.5364830291,3400.7085436,6706.33746633,3305.62892373
Clostridium XI,9,13181.75237381,1464.63915264556,2077.78925810854,637.6075562,6590.87618725,93.71857106
Tessaracoccus,12,12261.378049016,1021.78150408467,1803.68059177264,389.3209976,6130.689024392,11.359022072
Cobetia,2,12239.73063302,6119.86531651,0,6119.86531651,6119.86531651,6119.86531651
Methylibium,5,12134.225167318,2426.8450334636,2858.65572411478,598.91728159,6067.112583654,93.67702562
Collinsella,2,11905.59485592,5952.79742796,0,5952.79742796,5952.79742796,5952.79742796
Wautersiella,7,11888.954440002,1698.42206285743,1886.5661526408,863.7521924,5080.725027916,101.47201974
Aminobacter,4,11627.6746244,2906.9186561,2352.89000014671,2813.68841728,5813.83731232,186.46047752
Sphaerobacter,13,11612.629439171,893.279187628538,1573.12265849013,176.32395832,5806.314719785,14.036449522
Alloiococcus,10,11430.276237318,1143.0276237318,1796.74908867083,244.6524678,5715.138118646,18.433867532
Curvibacter,4,11418.80255367,2854.7006384175,2272.39370770555,2778.71860375,5709.40127639,151.96406978
Microlunatus,9,11418.505127935,1268.72279199278,2203.1556537815,274.0597528,5709.25256407,16.951747746
Streptomyces,8,11412.08080444,1426.510100555,2145.73727127431,317.634152,5706.04040208,28.37552662
Rubrivivax,4,11333.8108412574,2833.45271031435,1978.56237119453,2213.53916603435,5666.9054204287,1239.82708876
Chryseomicrobium,4,11323.51329958,2830.878324895,2872.97291514411,2786.70235625,5661.7566497,88.35193738
Lysobacter,11,11275.477159266,1025.04337811509,1635.92726336389,392.7406392,5637.738579668,51.1697021
Dyadobacter,4,11252.59699972,2813.14924993,2496.38390685459,2725.79564636,5626.2985,174.707207
Clostridium,6,11106.53211758,1851.08868626333,1986.60473746436,1513.76445685,5553.2660586,56.62906788
Luteimonas,9,11099.04120045,1233.22680005,1887.70994097954,217.986221,5549.52060015,33.59632628
Geodermatophilus,3,11054.9588553,3684.9862851,2821.888883425,5091.1784638,5527.4794277,436.3009638
Gillisia,5,10788.43322202,2157.686644404,2535.69305068357,933.88306719,5394.21661067,48.84274326
Rhodobacter,11,9896.119147725,899.647195247727,1447.41117112599,526.7806066,4948.05957389,7.820059684
Mesorhizobium,14,9703.904080578,693.136005755571,1277.10895393527,247.57125802,4851.952040244,9.30125388
